id,code,sequence,description,invoice_label,name,price_include,amount,amount_type,type_tax_use,tax_group_id,active,repartition_line_ids/repartition_type,repartition_line_ids/document_type,repartition_line_ids/tag_ids,repartition_line_ids/account_id,repartition_line_ids/factor_percent,name@fr,name@nl
attn_VAT-OUT-21-S,VAT-OUT-21-S,10,21%,21%,21% Services,False,21,percent,sale,atg_VAT_21,True,base,invoice,+03,,,21% Services,21% Diensten
,,,,,,,,,,,,tax,invoice,+54,aatn_451054,,,
,,,,,,,,,,,,base,refund,+49,,,,
,,,,,,,,,,,,tax,refund,+64,aatn_451054,,,
attn_VAT-OUT-21-G,VAT-OUT-21-G,11,21%,21%,21% Goods,False,21,percent,sale,atg_VAT_21,True,base,invoice,+03,,,21% Marchandises,21% Goederen
,,,,,,,,,,,,tax,invoice,+54,aatn_451054,,,
,,,,,,,,,,,,base,refund,+49,,,,
,,,,,,,,,,,,tax,refund,+64,aatn_451054,,,
attn_VAT-OUT-21-CD2-S,VAT-OUT-21-CD2-S,12,21% - Cash Discount 2%,21% - Cash Discount 2%,21% Services - Cash Discount 2%,False,20.58,percent,sale,atg_VAT_21,False,base,invoice,+03,,,21% Services - Escompte de caisse 2%,21%  Diensten - Korting contant 2%
,,,,,,,,,,,,tax,invoice,+54,aatn_451054,,,
,,,,,,,,,,,,base,refund,+49,,,,
,,,,,,,,,,,,tax,refund,+64,aatn_451054,,,
attn_VAT-OUT-21-CD2-G,VAT-OUT-21-CD2-G,13,21% - Cash Discount 2%,21% - Cash Discount 2%,21% Goods - Cash Discount 2%,False,20.58,percent,sale,atg_VAT_21,False,base,invoice,+03,,,21% Marchandises - Escompte de caisse 2%,21% Goederen - Korting contant 2%
,,,,,,,,,,,,tax,invoice,+54,aatn_451054,,,
,,,,,,,,,,,,base,refund,+49,,,,
,,,,,,,,,,,,tax,refund,+64,aatn_451054,,,
attn_VAT-OUT-21-INC-S,VAT-OUT-21-INC-S,14,21%,21%,21% Services (Price Incl.),True,21,percent,sale,atg_VAT_21,True,base,invoice,+03,,,21% Services (Prix incl.),21% Diensten (Prijs incl.)
,,,,,,,,,,,,tax,invoice,+54,aatn_451054,,,
,,,,,,,,,,,,base,refund,+49,,,,
,,,,,,,,,,,,tax,refund,+64,aatn_451054,,,
attn_VAT-OUT-21-INC-G,VAT-OUT-21-INC-G,15,21%,21%,21% Goods (Price Incl.),True,21,percent,sale,atg_VAT_21,True,base,invoice,+03,,,21% Marchandises (Prix incl.),21% Goederen (Prijs incl.)
,,,,,,,,,,,,tax,invoice,+54,aatn_451054,,,
,,,,,,,,,,,,base,refund,+49,,,,
,,,,,,,,,,,,tax,refund,+64,aatn_451054,,,
attn_VAT-OUT-12-S,VAT-OUT-12-S,20,12%,12%,12% Services,False,12,percent,sale,atg_VAT_12,True,base,invoice,+02,,,12% Services,12% Diensten
,,,,,,,,,,,,tax,invoice,+54,aatn_451054,,,
,,,,,,,,,,,,base,refund,+49,,,,
,,,,,,,,,,,,tax,refund,+64,aatn_451054,,,
attn_VAT-OUT-12-G,VAT-OUT-12-G,21,12%,12%,12% Goods,False,12,percent,sale,atg_VAT_12,True,base,invoice,+02,,,12% Marchandises,12% Goederen
,,,,,,,,,,,,tax,invoice,+54,aatn_451054,,,
,,,,,,,,,,,,base,refund,+49,,,,
,,,,,,,,,,,,tax,refund,+64,aatn_451054,,,
attn_VAT-OUT-06-S,VAT-OUT-06-S,30,6%,6%,6% Services,False,6,percent,sale,atg_VAT_06,True,base,invoice,+01,,,6% Services,6% Diensten
,,,,,,,,,,,,tax,invoice,+54,aatn_451054,,,
,,,,,,,,,,,,base,refund,+49,,,,
,,,,,,,,,,,,tax,refund,+64,aatn_451054,,,
attn_VAT-OUT-06-G,VAT-OUT-06-G,31,6%,6%,6% Goods,False,6,percent,sale,atg_VAT_06,True,base,invoice,+01,,,6% Marchandises,6% Goederen
,,,,,,,,,,,,tax,invoice,+54,aatn_451054,,,
,,,,,,,,,,,,base,refund,+49,,,,
,,,,,,,,,,,,tax,refund,+64,aatn_451054,,,
attn_VAT-OUT-00-S,VAT-OUT-00-S,40,0%,0%,0% Services,False,0,percent,sale,atg_VAT_00,True,base,invoice,+00,,,0% Services,0% Diensten
,,,,,,,,,,,,tax,invoice,,,,,
,,,,,,,,,,,,base,refund,+49,,,,
,,,,,,,,,,,,tax,refund,,,,,
attn_VAT-OUT-00-G,VAT-OUT-00-G,41,0%,0%,0% Goods,False,0,percent,sale,atg_VAT_00,True,base,invoice,+00,,,0% Marchandises,0% Goederen
,,,,,,,,,,,,tax,invoice,,,,,
,,,,,,,,,,,,base,refund,+49,,,,
,,,,,,,,,,,,tax,refund,,,,,
attn_VAT-OUT-00-CC,VAT-OUT-00-CC,50,0%,0%,0% Cocontractant,False,0,percent,sale,atg_VAT_00,True,base,invoice,+45,,,0% Cocontractant,0% Medecontractant
,,,,,,,,,,,,tax,invoice,,,,,
,,,,,,,,,,,,base,refund,+49,,,,
,,,,,,,,,,,,tax,refund,,,,,
attn_VAT-OUT-00-EU-S,VAT-OUT-00-EU-S,60,0%,0%,Services within EU,False,0,percent,sale,atg_VAT_00,True,base,invoice,+44,,,Services UE,Diensten EU
,,,,,,,,,,,,tax,invoice,,,,,
,,,,,,,,,,,,base,refund,+48S,,,,
,,,,,,,,,,,,tax,refund,,,,,
attn_VAT-OUT-00-EU-G,VAT-OUT-00-EU-G,61,0%,0%,Goods within EU (Code L),False,0,percent,sale,atg_VAT_00,True,base,invoice,+46L,,,Marchandises UE (Code L),Goederen EU (Code L)
,,,,,,,,,,,,tax,invoice,,,,,
,,,,,,,,,,,,base,refund,+48L,,,,
,,,,,,,,,,,,tax,refund,,,,,
attn_VAT-OUT-00-EU-T,VAT-OUT-00-EU-T,62,0%,0%,Goods within EU (Code T),False,0,percent,sale,atg_VAT_00,True,base,invoice,+46T,,,Marchandises UE (Code T),Goederen EU (Code T)
,,,,,,,,,,,,tax,invoice,,,,,
,,,,,,,,,,,,base,refund,+48T,,,,
,,,,,,,,,,,,tax,refund,,,,,
attn_VAT-OUT-00-ROW,VAT-OUT-00-ROW,70,0%,0%,Export Outside EU,False,0,percent,sale,atg_VAT_00,True,base,invoice,+47,,,Export hors UE,Export buiten EU
,,,,,,,,,,,,tax,invoice,,,,,
,,,,,,,,,,,,base,refund,+49,,,,
,,,,,,,,,,,,tax,refund,,,,,
attn_VAT-IN-V81-21-S,VAT-IN-V81-21-S,110,21%,21%,21% - Services for resale,False,21,percent,purchase,atg_VAT_21,True,base,invoice,+81D,,,21% - Services pour revente,21% - Diensten voor wederverkoop
,,,,,,,,,,,,tax,invoice,+59,aatn_411059,,,
,,,,,,,,,,,,base,refund,-81D||+85D,,,,
,,,,,,,,,,,,tax,refund,+63,aatn_451063,,,
attn_VAT-IN-V81-21-G,VAT-IN-V81-21-G,113,21%,21%,"21% - Raw mat., consum. and goods for resale",False,21,percent,purchase,atg_VAT_21,True,base,invoice,+81D,,,21% - Approvisionn. et marchandises,"21% - Handelsgoed., grond- en hulpstoffen"
,,,,,,,,,,,,tax,invoice,+59,aatn_411059,,,
,,,,,,,,,,,,base,refund,-81D||+85D,,,,
,,,,,,,,,,,,tax,refund,+63,aatn_451063,,,
attn_VAT-IN-V81-12,VAT-IN-V81-12,120,12%,12%,"12% - Raw mat., consum. and goods for resale",False,12,percent,purchase,atg_VAT_12,True,base,invoice,+81D,,,12% - Approvisionn. et marchandises,"12% - Handelsgoed., grond- en hulpstoffen"
,,,,,,,,,,,,tax,invoice,+59,aatn_411059,,,
,,,,,,,,,,,,base,refund,-81D||+85D,,,,
,,,,,,,,,,,,tax,refund,+63,aatn_451063,,,
attn_VAT-IN-V81-06,VAT-IN-V81-06,130,6%,6%,"6% - Raw mat., consum. and goods for resale",False,6,percent,purchase,atg_VAT_06,True,base,invoice,+81D,,,6% - Approvisionn. et marchandises,"6% - Handelsgoed., grond- en hulpstoffen"
,,,,,,,,,,,,tax,invoice,+59,aatn_411059,,,
,,,,,,,,,,,,base,refund,-81D||+85D,,,,
,,,,,,,,,,,,tax,refund,+63,aatn_451063,,,
attn_VAT-IN-V81-00,VAT-IN-V81-00,140,0%,0%,"0% - Raw mat., consum. and goods for resale",False,0,percent,purchase,atg_VAT_00,True,base,invoice,+81D,,,0% - Approvisionn. et marchandises,"0% - Handelsgoed., grond- en hulpstoffen"
,,,,,,,,,,,,tax,invoice,,,,,
,,,,,,,,,,,,base,refund,-81D||+85D,,,,
,,,,,,,,,,,,tax,refund,,,,,
attn_VAT-IN-V82-21-S,VAT-IN-V82-21-S,210,21%,21%,21% - Services,False,21,percent,purchase,atg_VAT_21,True,base,invoice,+82D,,,21% - Services,21% - Diensten
,,,,,,,,,,,,tax,invoice,+59,aatn_411059,,,
,,,,,,,,,,,,base,refund,-82D||+85D,,,,
,,,,,,,,,,,,tax,refund,+63,aatn_451063,,,
attn_VAT-IN-V82-21-CD2-S,VAT-IN-V82-21-CD2-S,213,21% - Cash Discount 2%,21% - Cash Discount 2%,21% - Services - Cash Discount 2%,False,20.58,percent,purchase,atg_VAT_21,True,base,invoice,+82D,,,21% - Services -  Escompte de caisse 2%,21% - Diensten - Korting contant 2%
,,,,,,,,,,,,tax,invoice,+59,aatn_411059,,,
,,,,,,,,,,,,base,refund,-82D||+85D,,,,
,,,,,,,,,,,,tax,refund,+63,aatn_451063,,,
attn_VAT-IN-V82-21-INC-S,VAT-IN-V82-21-INC-S,216,21%,21%,21% - Services (Price Incl.),True,21,percent,purchase,atg_VAT_21,True,base,invoice,+82D,,,21% - Services (Prix incl.),21% - Diensten (Prijs incl.)
,,,,,,,,,,,,tax,invoice,+59,aatn_411059,,,
,,,,,,,,,,,,base,refund,-82D||+85D,,,,
,,,,,,,,,,,,tax,refund,+63,aatn_451063,,,
attn_VAT-IN-V82-21-G,VAT-IN-V82-21-G,220,21%,21%,21% - Other goods,False,21,percent,purchase,atg_VAT_21,True,base,invoice,+82D,,,21% - Biens divers,21% - Diverse goederen
,,,,,,,,,,,,tax,invoice,+59,aatn_411059,,,
,,,,,,,,,,,,base,refund,-82D||+85D,,,,
,,,,,,,,,,,,tax,refund,+63,aatn_451063,,,
attn_VAT-IN-V82-12-S,VAT-IN-V82-12-S,230,12%,12%,12% - Services,False,12,percent,purchase,atg_VAT_12,True,base,invoice,+82D,,,12% - Services,12% - Diensten
,,,,,,,,,,,,tax,invoice,+59,aatn_411059,,,
,,,,,,,,,,,,base,refund,-82D||+85D,,,,
,,,,,,,,,,,,tax,refund,+63,aatn_451063,,,
